source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,mass_flame,radius_flame,distance_pc
5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,-3781.741008265163,769.4650146478623,-21.942726135253906,8.984748840332031,,0.16237111389636993,1.3019705311704333
4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,-801.5509783684709,10362.394206546573,-110.46822357177734,8.193974494934082,,0.2021641731262207,1.828233981355542
3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,-3866.3382751436793,-2699.214987679166,,11.03839111328125,,,2.408597252748958
762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,-580.0570872139048,-4776.588719443488,-85.11064147949219,6.551171779632568,,0.41768723726272583,2.5461298549469777
2947050466531873024,101.28662552099249,-16.720932526023173,374.48958852876103,-461.570505530133,-914.5196209016666,,8.52413272857666,,,2.6703012063129745
5140693571158946048,24.771674208211856,-17.947682860008488,373.8443122683992,3178.6942575748953,584.0613350385156,10.249532699584961,10.817837715148926,,,2.674910296032687
5140693571158739840,24.771554293454546,-17.948299887129313,367.71189618147696,3385.315810465071,544.3863845619521,21.458223342895508,10.50754165649414,,,2.7195203918735054
4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,639.367850335873,-193.95792507116096,-11.116439819335938,9.12641429901123,,0.21745505928993225,2.9759548649868903
1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,112.52746493350043,-1591.6497618145506,-77.28982543945312,10.379277229309082,,,3.159745481768476
5164707970261890560,53.22829341517546,-9.458168216292322,310.5772928005821,-974.758145249517,20.875840089774208,,3.465751886367798,0.811199426651001,0.7761164307594299,3.219810408490127
6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,6765.995136250774,1330.2852747179845,8.306987762451172,6.522032260894775,,0.5834698677062988,3.2880095551861235
3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,607.2990766811824,-1223.0283548879977,,9.60099983215332,,0.21512305736541748,3.374897355164646
1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,4105.976428209489,3155.9416398273515,-64.59354400634766,5.450644493103027,,0.6768411993980408,3.4964380683468383
1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,4164.2086922846665,3249.613883848584,-65.9749526977539,4.7667131423950195,0.6795274019241333,0.6822791695594788,3.4965652573897277
2154880616774131840,280.6830708352289,59.638357907754816,283.8401180184389,-1311.6790825522846,1792.3245558304384,-1.303305983543396,7.854393005371094,,0.37544187903404236,3.5231101472943926
2154880616774131712,280.68308624583415,59.635145454818776,283.8377678450057,-1400.263516756894,1862.5251477485458,0.8763075470924377,8.524703979492188,,0.3015456199645996,3.523139318605643
385334230892516480,4.613226257557736,44.02478674398518,280.706821579123,2891.5180773367792,411.8320203661465,11.36727523803711,7.21856689453125,,0.45799520611763,3.5624356913539748
385334196532776576,4.625300681217554,44.02874451664357,280.6947310460246,2862.7964264973784,336.43190371856457,10.60361099243164,9.686646461486816,,0.2224232405424118,3.5625891382907127
703790044252850688,127.45009240230564,26.77328596508202,279.2496391012477,-1113.693546784546,-612.1910728285187,,12.167454719543457,,,3.5810252189347667
6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,3966.6605387484133,-2536.1919868044724,-40.426700592041016,4.322904109954834,0.7392322421073914,0.7631266117095947,3.638438981826665
2452378776434477184,26.009055057160104,-15.933680200693857,273.80974511859966,-1721.7277944720731,854.9631570589582,,3.3003997802734375,,,3.6521709611425766
4848140361962951552,54.00339387736301,-44.51436231604776,272.16154083178225,745.6543400042402,-373.3232809136534,1.491807222366333,10.995455741882324,,,3.6742884279086314
